id,name_ru,name_it,name_en,short_ru,short_it,short_en,long_ru,long_it,long_en,height,diameter,material,technique,finish,img1,img2,img3,img4,img5,img6,venduto,price_old,price_new
v1,Морская соль,Sale Marino,Seasalt,Скульптурная ваза вдохновленная морской солью. Тактильная поверхность создающая ощущение спокойствия.,Vaso scultoreo ispirato al sale marino. Superficie materica che porta calma e luce nello spazio.,A sculptural vase inspired by sea salt. A tactile surface that brings calm and light into a space.,Sale Marino это ваза из высокотемпературной глины. Ее поверхность напоминает соль сформированную морем. Объект создан для тихого присутствия в интерьере. Каждое изделие уникально и имеет намеренные несовершенства. ,Sale Marino è un vaso realizzato in argilla ad alta temperatura. La superficie irregolare richiama il sale modellato dal mare. È un oggetto pensato per creare silenzio visivo e presenza nello spazio. Ogni pezzo è unico e conserva imperfezioni intenzionali.,Sale Marino is a vase made from high temperature fired clay. Its textured surface recalls salt shaped by the sea. It is created to bring quiet presence into an interior. Each piece is unique and intentionally imperfect.,32,18,Ceramica e pietra naturale,High-fire,Матовая,SaleMarino.1.jpg,SaleMarino.2.jpg,SaleMarino.3.jpg,SaleMarino.4.jpg,-,-,no,400,300
v2,Ракушка,Conchiglia,Rakushka,Органичная форма,Forma organica,Organic shape,Описание,Descrizione,Description,28,16,Глина,Высокий обжиг,Перламутр,rakushka-1.jpg,rakushka-2.jpg,rakushka-3.jpg,-,-,-,no,250,200
v3,Липия,Lipia,Lipiya,Перламутровые акценты,Accenti madreperlati,Pearly accents,Описание,Descrizione,Description,35,14,Глина,High-fire,Glossy,lipiya-1.jpg,lipiya-2.jpg,lipiya-3.jpg,-,-,-,no,-,180
v4,Cassettiera Doronina,Cassettiera Doronina,Cassettiera Doronina,Cassettiera ristrutturata,Cassettiera liberty di inizio 900,Cassettiera liberty di inizio 900,Cassettiera liberty di inizio 900,Cassettiera liberty di inizio 900,Cassettiera liberty di inizio 900,20,20,Глина,High-fire,Ceramica,cassettiera-liberty-1.jpg,cassettiera-liberty-2.jpg,cassettiera-liberty-1.jpg,cassettiera-liberty-2.jpg,-,-,si,-,1200
v5,Trittico Egiziano,Trittico Egiziano,Trittico Egiziano,Trittico Egiziano rielaborato dall’artista,Trittico Egiziano rielaborato dall’artista,Trittico Egiziano rielaborato dall’artista,Trittico Egiziano rielaborato dall’artista,Trittico Egiziano rielaborato dall’artista,Trittico Egiziano rielaborato dall’artista,20,20,Глина,High-fire,Ceramica,specchio-egiziano-1.jpg,specchio-egiziano-2.jpg,specchio-egiziano-1.jpg,specchio-egiziano-2.jpg,specchio-egiziano-1.jpg,specchio-egiziano-2.jpg,si,-,400
v1,Accetto Rosso,Accetto Rosso,Accetto Rosso,Глубокая красная глазурь,Smalto rosso intenso,Deep red glaze,Длинное описание,Descrizione lunga,Long description,32,18,Глина/Clay,High-fire,Матовая,accetto-rosso-1.jpg,accetto-rosso-2.jpg,accetto-rosso-3.jpg,accetto-rosso-4.jpg,accetto-rosso-5.jpg,accetto-rosso-6.jpg,no,-,300
