id;name_it;name_en;name_ru;short_it;short_en;short_ru;long_it;long_en;long_ru;date;time;level;spots;price;img1
mc1;Dipingi Genova su un piatto di ceramica;Paint Genoa on a ceramic plate;Нарисуйте Геную на керамической тарелке;Creerete un piatto in ceramica e lo dipingerete con un’immagine ispirata a Genova.;You will create a ceramic plate and paint it with an image inspired by Genoa.;Вы создадите керамическую тарелку и распишете ее изображением, вдохновленным Генуей.;Creerete un piatto in ceramica e lo dipingerete con un’immagine ispirata a Genova, come la Lanterna o Piazza De Ferrari. Non occorre alcuna esperienza: vi guiderò io passo dopo passo.;You will create a ceramic plate and paint it with an image inspired by Genoa, such as the Lanterna or Piazza De Ferrari. No experience is required: I will guide you step by step.;Вы создадите керамическую тарелку и распишете ее изображением, вдохновленным Генуей, например, маяком или площадью Пьяцца де Феррари. Опыт не требуется: я буду сопровождать вас шаг за шагом.;12.01.2026;11:00-13:15;Beginner;Max 6 persone;100€;workshop-disegni-airbnb-generico.1.jpg
mc2;Dipingi Genova su un piatto di ceramica;Paint Genoa on a ceramic plate;Нарисуйте Геную на керамической тарелке;Creerete un piatto in ceramica e lo dipingerete con un’immagine ispirata a Genova.;You will create a ceramic plate and paint it with an image inspired by Genoa.;Вы создадите керамическую тарелку и распишете ее изображением, вдохновленным Генуей.;Creerete un piatto in ceramica e lo dipingerete con un’immagine ispirata a Genova, come la Lanterna o Piazza De Ferrari. Non occorre alcuna esperienza: vi guiderò io passo dopo passo.;You will create a ceramic plate and paint it with an image inspired by Genoa, such as the Lanterna or Piazza De Ferrari. No experience is required: I will guide you step by step.;Вы создадите керамическую тарелку и распишете ее изображением, вдохновленным Генуей, например, маяком или площадью Пьяцца де Феррари. Опыт не требуется: я буду сопровождать вас шаг за шагом.;12.01.2026;11:00-13:15;Beginner;Max 6 persone;100€;workshop-disegni-airbnb-genova-minimalista.3.jpg
mc3;Dipingi Genova su un piatto di ceramica;Paint Genoa on a ceramic plate;Нарисуйте Геную на керамической тарелке;Creerete un piatto in ceramica e lo dipingerete con un’immagine ispirata a Genova.;You will create a ceramic plate and paint it with an image inspired by Genoa.;Вы создадите керамическую тарелку и распишете ее изображением, вдохновленным Генуей.;Creerete un piatto in ceramica e lo dipingerete con un’immagine ispirata a Genova, come la Lanterna o Piazza De Ferrari. Non occorre alcuna esperienza: vi guiderò io passo dopo passo.;You will create a ceramic plate and paint it with an image inspired by Genoa, such as the Lanterna or Piazza De Ferrari. No experience is required: I will guide you step by step.;Вы создадите керамическую тарелку и распишете ее изображением, вдохновленным Генуей, например, маяком или площадью Пьяцца де Феррари. Опыт не требуется: я буду сопровождать вас шаг за шагом.;12.01.2026;11:00-13:15;Beginner;Max 6 persone;100€;workshop-disegni-airbnb-generico.1.jpg
mc4;Dipingi Genova su un piatto di ceramica;Paint Genoa on a ceramic plate;Нарисуйте Геную на керамической тарелке;Creerete un piatto in ceramica e lo dipingerete con un’immagine ispirata a Genova.;You will create a ceramic plate and paint it with an image inspired by Genoa.;Вы создадите керамическую тарелку и распишете ее изображением, вдохновленным Генуей.;Creerete un piatto in ceramica e lo dipingerete con un’immagine ispirata a Genova, come la Lanterna o Piazza De Ferrari. Non occorre alcuna esperienza: vi guiderò io passo dopo passo.;You will create a ceramic plate and paint it with an image inspired by Genoa, such as the Lanterna or Piazza De Ferrari. No experience is required: I will guide you step by step.;Вы создадите керамическую тарелку и распишете ее изображением, вдохновленным Генуей, например, маяком или площадью Пьяцца де Феррари. Опыт не требуется: я буду сопровождать вас шаг за шагом.;12.01.2026;11:00-13:15;Beginner;Max 6 persone;100€;workshop-disegni-airbnb-genova-minimalista.1.jpg
mc2;Dipingi Genova su un piatto di ceramica;Paint Genoa on a ceramic plate;Нарисуйте Геную на керамической тарелке;Creerete un piatto in ceramica e lo dipingerete con un’immagine ispirata a Genova.;You will create a ceramic plate and paint it with an image inspired by Genoa.;Вы создадите керамическую тарелку и распишете ее изображением, вдохновленным Генуей.;Creerete un piatto in ceramica e lo dipingerete con un’immagine ispirata a Genova, come la Lanterna o Piazza De Ferrari. Non occorre alcuna esperienza: vi guiderò io passo dopo passo.;You will create a ceramic plate and paint it with an image inspired by Genoa, such as the Lanterna or Piazza De Ferrari. No experience is required: I will guide you step by step.;Вы создадите керамическую тарелку и распишете ее изображением, вдохновленным Генуей, например, маяком или площадью Пьяцца де Феррари. Опыт не требуется: я буду сопровождать вас шаг за шагом.;12.01.2026;11:00-13:15;Beginner;Max 6 persone;100€;workshop-disegni-airbnb-genova-minimalista.2.jpg
